nombre d'iterations,plus court chemin,temps
1,8698.949108780176,0.6687680000322871
3,8146.828570447887,1.7885492999921553
5,7665.31834961724,2.865702999988571
7,6084.8368688725905,3.9219159000203945
9,4223.547511198034,5.03233860002365
11,2816.520286055256,6.159671899979003
13,2465.00913363962,7.252576800005045
15,2158.9284154264164,8.359094100014772
17,2043.6279966004254,9.488302699988708
19,2133.2358748794436,10.5422275000019
21,1919.1928772292479,11.657092400011607
23,1992.777938442524,12.729147600010037
25,2011.0513175262838,13.818194299994502
27,1991.112007343211,14.993856200017035
29,1976.6252998547677,16.014752799994312
31,2012.3987765664701,17.095704500039574
33,1907.025721951229,18.2359107999946
35,1951.5192810932929,19.359936200024094
37,1917.7551962190744,20.37206740002148
39,1963.922465321395,21.54053160001058
41,1906.6895162545268,22.594129399978556
43,1969.1958818484711,23.696051899984013
45,1979.9461962684968,24.766726900008507
47,1950.087175038761,25.935331200016662
49,1964.0585060720375,26.9301381999976
51,1867.4114738919864,28.016020200040657
53,1830.103097345923,29.196563700039405
55,1893.6775045836134,30.31431970000267
57,1960.0015460783336,31.379531099984888
59,1861.4411028731893,32.46197750000283
61,1753.1169392115357,42.77423749997979
63,1821.1239197864263,55.523670799972024
65,1906.1322238354617,55.419402599975
67,1883.384083456731,55.63014700001804
69,1874.5489859723853,59.216244200011715
71,1895.8895546614197,59.90271239995491
73,1843.3519068652536,62.054133900033776
75,1866.139562021254,63.36230129998876
77,1896.5910591910904,60.787132999976166
79,1719.1205713650722,46.319434400007594
